repository,pr,ga,v_old,v_new,update_type,statically_compatible,dynamically_compatible,err
OpenFeign/querydsl,198,org.springframework.boot:spring-boot-starter-parent,3.1.5,3.2.0,minor,False,,NO_JAR
OpenFeign/querydsl,197,org.apache.maven.plugins:maven-surefire-plugin,3.2.2,3.2.3,patch,True,,NO_GITHUB
OpenFeign/querydsl,196,io.sundr:sundr-maven-plugin,0.101.3,0.103.1,minor,True,,
OpenFeign/querydsl,193,org.jetbrains:annotations,24.0.1,24.1.0,minor,True,False,no_maven
OpenFeign/querydsl,191,org.apache.maven.plugins:maven-javadoc-plugin,3.6.2,3.6.3,patch,False,,
OpenFeign/querydsl,186,org.apache.logging.log4j:log4j-core,2.21.1,2.22.0,minor,False,,
OpenFeign/querydsl,185,org.javassist:javassist,3.29.2-GA,3.30.1-GA,minor,True,,NO_TAG
OpenFeign/querydsl,184,com.ibm.db2:jcc,11.5.8.0,11.5.9.0,patch,False,,
OpenFeign/querydsl,180,org.postgresql:postgresql,42.6.0,42.7.1,minor,True,False,no_maven
OpenFeign/querydsl,174,net.bytebuddy:byte-buddy,1.14.10,1.14.11,patch,True,,NO_GITHUB
OpenFeign/querydsl,168,com.google.guava:guava,32.1.3-jre,33.0.0-jre,major,False,,
OpenFeign/querydsl,166,org.javassist:javassist,3.29.2-GA,3.30.1-GA,minor,True,,NO_TAG
OpenFeign/querydsl,152,org.postgresql:postgresql,42.7.0,42.7.1,patch,False,,
OpenFeign/querydsl,145,jakarta.activation:jakarta.activation-api,2.1.1,2.1.2,patch,True,False,no_maven
OpenFeign/querydsl,144,io.smallrye:jandex,3.1.2,3.1.6,patch,True,False,no_test
OpenFeign/querydsl,143,com.squareup:kotlinpoet-jvm,1.15.2,1.15.3,patch,True,False,no_maven
OpenFeign/querydsl,138,org.apache.maven.plugins:maven-javadoc-plugin,3.6.2,3.6.3,patch,False,,
OpenFeign/querydsl,136,com.squareup:kotlinpoet-jvm,1.15.1,1.15.2,patch,True,False,no_maven
OpenFeign/querydsl,134,io.sundr:sundr-maven-plugin,0.103.0,0.103.1,patch,True,,
OpenFeign/querydsl,131,org.firebirdsql.jdbc:jaybird,5.0.2.java8,5.0.3.java8,patch,True,False,no_maven
OpenFeign/querydsl,130,io.sundr:sundr-maven-plugin,0.101.3,0.103.0,minor,True,False,no_compile
OpenFeign/querydsl,129,org.xerial:sqlite-jdbc,3.44.0.0,3.44.1.0,patch,True,True,
OpenFeign/querydsl,127,org.springframework.boot:spring-boot-starter-parent,3.1.5,3.2.0,minor,False,,NO_JAR
OpenFeign/querydsl,125,org.codehaus.plexus:plexus-component-annotations,1.7.1,2.1.1,major,True,False,no_compile
OpenFeign/querydsl,121,org.postgresql:postgresql,42.6.0,42.7.0,minor,False,,
OpenFeign/querydsl,120,org.apache.logging.log4j:log4j-core,2.21.1,2.22.0,minor,False,,
OpenFeign/querydsl,116,com.ibm.db2:jcc,11.5.8.0,11.5.9.0,patch,False,,
OpenFeign/querydsl,113,io.github.classgraph:classgraph,4.8.164,4.8.165,patch,True,True,
OpenFeign/querydsl,112,com.microsoft.sqlserver:mssql-jdbc,12.4.2.jre8,12.5.0.jre8-preview,minor,False,,
OpenFeign/querydsl,111,org.jetbrains:annotations,24.0.1,24.1.0,minor,True,False,no_maven
OpenFeign/querydsl,107,org.xerial:sqlite-jdbc,3.43.2.2,3.44.0.0,minor,False,,
OpenFeign/querydsl,106,org.firebirdsql.jdbc:jaybird,4.0.6.java8,5.0.2.java8,major,False,,
OpenFeign/querydsl,105,com.microsoft.sqlserver:mssql-jdbc,11.2.1.jre8,12.4.2.jre8,major,False,,
OpenFeign/querydsl,102,org.postgresql:postgresql,42.3.4,42.6.0,minor,False,,
OpenFeign/querydsl,98,com.oracle.database.jdbc:ojdbc8,21.7.0.0,23.3.0.23.09,major,False,,
OpenFeign/querydsl,93,org.postgresql:postgresql,42.2.22,42.6.0,minor,False,,
OpenFeign/querydsl,92,io.sundr:sundr-maven-plugin,0.101.0,0.101.3,patch,True,False,no_compile
OpenFeign/querydsl,90,org.geolatte:geolatte-geom,1.8.2,1.9.1,minor,False,,
OpenFeign/querydsl,83,org.springframework.boot:spring-boot-starter-parent,2.5.2,3.1.5,major,False,,NO_JAR
OpenFeign/querydsl,81,org.hsqldb:hsqldb,2.6.0,2.7.2,minor,False,,
OpenFeign/querydsl,80,io.github.classgraph:classgraph,4.8.108,4.8.164,patch,False,,
OpenFeign/querydsl,75,com.fasterxml:classmate,1.5.1,1.6.0,minor,False,,
OpenFeign/querydsl,73,org.apache.maven.plugins:maven-javadoc-plugin,3.6.0,3.6.2,patch,False,,
OpenFeign/querydsl,72,org.joda:joda-money,1.0.1,1.0.4,patch,True,,NO_GITHUB
OpenFeign/querydsl,71,joda-time:joda-time,2.10.10,2.12.5,minor,True,False,no_compile
OpenFeign/querydsl,70,org.orbisgis:h2gis,2.0.0,2.2.0,minor,False,,
OpenFeign/querydsl,68,org.hibernate:hibernate-search-orm,5.11.9.Final,5.11.12.Final,patch,True,False,no_resolve
OpenFeign/querydsl,67,org.apache.maven.plugins:maven-surefire-plugin,3.2.1,3.2.2,patch,True,,NO_GITHUB
OpenFeign/querydsl,65,org.projectlombok:lombok,1.18.20,1.18.30,patch,False,,
OpenFeign/querydsl,64,org.apache.maven.plugins:maven-plugin-plugin,3.6.1,3.10.2,minor,False,,
OpenFeign/querydsl,63,com.squareup:kotlinpoet,1.9.0,1.14.2,minor,False,,
OpenFeign/querydsl,59,com.ibm.db2:jcc,11.5.5.0,11.5.8.0,patch,False,,
OpenFeign/querydsl,58,org.apache.maven.plugins:maven-deploy-plugin,2.8.2,3.1.1,major,False,,
OpenFeign/querydsl,56,org.mongodb:mongo-java-driver,3.12.8,3.12.14,patch,True,False,no_maven
OpenFeign/querydsl,51,mysql:mysql-connector-java,8.0.25,8.0.30,patch,False,,
OpenFeign/querydsl,50,org.codehaus.mojo:animal-sniffer-annotations,1.20,1.23,minor,True,False,no_test
OpenFeign/querydsl,42,org.apache.ant:ant,1.10.11,1.10.14,patch,True,,NO_GITHUB
OpenFeign/querydsl,41,org.codehaus.plexus:plexus-utils,3.3.0,4.0.0,major,False,,
OpenFeign/querydsl,40,org.apache.maven.plugins:maven-pmd-plugin,3.21.0,3.21.2,patch,False,,
OpenFeign/querydsl,37,com.mysema.maven:apt-maven-plugin,1.0.9,1.1.3,minor,True,,NO_GITHUB
OpenFeign/querydsl,36,org.jboss.logging:jboss-logging,3.4.2.Final,3.5.3.Final,minor,True,False,no_compile
OpenFeign/querydsl,35,org.ow2.asm:asm-commons,9.2,9.6,minor,True,,NO_GITHUB
OpenFeign/querydsl,32,org.datanucleus:datanucleus-maven-plugin,5.2.1,6.0.0-release,major,True,,NO_GITHUB
OpenFeign/querydsl,29,org.easymock:easymock,4.3,5.2.0,major,False,,
OpenFeign/querydsl,27,org.apache.maven.plugins:maven-compiler-plugin,3.8.1,3.11.0,minor,False,,
OpenFeign/querydsl,28,org.apache.felix:maven-bundle-plugin,5.1.2,5.1.9,patch,True,False,no_maven
OpenFeign/querydsl,20,org.javassist:javassist,3.28.0-GA,3.29.2-GA,minor,False,,
OpenFeign/querydsl,23,org.apache.maven.plugins:maven-assembly-plugin,3.3.0,3.6.0,minor,False,,
OpenFeign/querydsl,19,org.jetbrains:annotations,21.0.1,24.0.1,major,True,False,no_maven
OpenFeign/querydsl,17,org.apache.maven.plugins:maven-source-plugin,3.2.1,3.3.0,minor,False,,
OpenFeign/querydsl,15,org.apache.maven.plugins:maven-pmd-plugin,3.14.0,3.21.0,minor,False,,
OpenFeign/querydsl,14,org.apache.maven.plugins:maven-checkstyle-plugin,3.1.2,3.3.1,minor,False,,
OpenFeign/querydsl,12,com.google.guava:guava,30.1.1-jre,32.0.0-jre,major,False,,
OpenFeign/querydsl,10,org.datanucleus:javax.jdo,3.2.0-m13,3.2.1,patch,False,,
OpenFeign/querydsl,8,org.ow2.asm:asm,9.2,9.6,minor,False,,
OpenFeign/querydsl,7,org.apache.maven.plugins:maven-javadoc-plugin,3.3.0,3.6.0,minor,False,,
OpenFeign/querydsl,3,org.apache.ant:ant,1.10.10,1.10.11,patch,True,,NO_GITHUB
meteorOSS/wechat-bc,11,com.alibaba:fastjson,2.0.31,2.0.46,patch,True,False,no_compile
meteorOSS/wechat-bc,7,org.yaml:snakeyaml,1.28,2.2,major,False,,
usdAG/FlowMate,26,org.neo4j:neo4j-ogm-bolt-driver,4.0.8,4.0.9,patch,True,False,no_test
usdAG/FlowMate,25,org.neo4j:neo4j-ogm-core,4.0.8,4.0.9,patch,True,False,no_test
usdAG/FlowMate,23,net.portswigger.burp.extensions:montoya-api,2023.3,2023.12.1,minor,False,,
usdAG/FlowMate,22,org.commonmark:commonmark,0.20.0,0.21.0,minor,True,True,
usdAG/FlowMate,20,org.neo4j.client:neo4j-browser,5.12.0,5.15.0,minor,True,False,no_compile
usdAG/FlowMate,19,org.apache.maven.plugins:maven-assembly-plugin,3.2.0,3.6.0,minor,False,,
usdAG/FlowMate,18,org.jsoup:jsoup,1.17.1,1.17.2,patch,True,False,
usdAG/FlowMate,17,org.neo4j:neo4j-bolt,5.13.0,5.15.0,minor,False,,
usdAG/FlowMate,16,org.apache.commons:commons-lang3,3.10,3.14.0,minor,False,,
usdAG/FlowMate,15,com.opencsv:opencsv,5.2,5.9,minor,False,,
usdAG/FlowMate,14,org.neo4j:neo4j,5.13.0,5.15.0,minor,False,,
usdAG/FlowMate,13,org.neo4j:neo4j-native,5.13.0,5.15.0,minor,True,False,no_compile
usdAG/FlowMate,12,org.jsoup:jsoup,1.15.3,1.17.1,minor,False,,
usdAG/FlowMate,11,com.github.wnameless.json:json-flattener,0.16.4,0.16.6,patch,True,True,
usdAG/FlowMate,9,org.apache.commons:commons-text,1.10.0,1.11.0,minor,True,,NO_GITHUB
usdAG/FlowMate,8,org.openjfx:javafx-controls,19.0.2.1,21.0.1,major,True,,NO_TAG
usdAG/FlowMate,4,org.projectlombok:lombok,1.18.26,1.18.30,patch,True,False,no_maven
quarkiverse/quarkus-langchain4j,454,io.quarkiverse.wiremock:quarkus-wiremock-test,1.3.0,1.3.1,patch,True,False,no_test
quarkiverse/quarkus-langchain4j,433,org.wiremock:wiremock-standalone,3.4.2,3.5.2,minor,False,,
quarkiverse/quarkus-langchain4j,324,org.wiremock:wiremock-standalone,3.4.1,3.4.2,patch,False,,
quarkiverse/quarkus-langchain4j,314,org.wiremock:wiremock-standalone,3.3.1,3.4.1,minor,False,,
quarkiverse/quarkus-langchain4j,269,org.assertj:assertj-core,3.25.2,3.25.3,patch,True,False,
quarkiverse/quarkus-langchain4j,244,org.assertj:assertj-core,3.25.1,3.25.2,patch,True,False,
quarkiverse/quarkus-langchain4j,203,org.assertj:assertj-core,3.24.2,3.25.1,minor,False,,
quarkiverse/quarkus-langchain4j,190,org.apache.maven.plugins:maven-compiler-plugin,3.12.0,3.12.1,patch,True,True,
quarkiverse/quarkus-langchain4j,167,org.apache.maven.plugins:maven-compiler-plugin,3.11.0,3.12.0,minor,True,True,
quarkiverse/quarkus-langchain4j,114,com.pgvector:pgvector,0.1.3,0.1.4,patch,False,,
quarkiverse/quarkus-langchain4j,68,org.mvnpm.at.mvnpm:vaadin-webcomponents,24.2.1,24.2.3,patch,True,False,no_maven
quarkiverse/quarkus-langchain4j,4,org.wiremock:wiremock-standalone,3.2.0,3.3.1,minor,False,,
quarkiverse/quarkus-langchain4j,1,org.mvnpm:es-module-shims,1.8.0,1.8.2,patch,True,False,no_maven
seifrajhi/Kubernetes-practical-exercises-Hands-on,89,org.webjars.npm:bootstrap,5.3.2,5.3.3,patch,True,False,no_maven
seifrajhi/Kubernetes-practical-exercises-Hands-on,88,org.springframework.boot:spring-boot-starter-parent,3.2.1,3.2.3,patch,False,,NO_JAR
seifrajhi/Kubernetes-practical-exercises-Hands-on,87,org.springframework.boot:spring-boot-starter-parent,3.2.1,3.2.3,patch,False,,NO_JAR
seifrajhi/Kubernetes-practical-exercises-Hands-on,81,org.testcontainers:junit-jupiter,1.19.3,1.19.6,patch,True,False,no_maven
seifrajhi/Kubernetes-practical-exercises-Hands-on,79,software.amazon.awssdk:bom,2.23.16,2.25.0,minor,False,,NO_JAR
seifrajhi/Kubernetes-practical-exercises-Hands-on,78,org.testcontainers:testcontainers,1.19.3,1.19.6,patch,False,,
seifrajhi/Kubernetes-practical-exercises-Hands-on,77,org.springframework.boot:spring-boot-starter-parent,3.2.0,3.2.3,patch,False,,NO_JAR
seifrajhi/Kubernetes-practical-exercises-Hands-on,73,org.postgresql:postgresql,42.3.8,42.3.9,patch,True,False,no_maven
seifrajhi/Kubernetes-practical-exercises-Hands-on,60,software.amazon.awssdk:bom,2.22.9,2.23.16,minor,False,,NO_JAR
seifrajhi/Kubernetes-practical-exercises-Hands-on,59,io.swagger:swagger-annotations,1.6.12,1.6.13,patch,True,False,no_test
seifrajhi/Kubernetes-practical-exercises-Hands-on,41,org.postgresql:postgresql,42.2.16,42.3.8,minor,False,,
Flmelody/windward,53,org.apache.maven.plugins:maven-gpg-plugin,3.2.1,3.2.2,patch,False,,
Flmelody/windward,52,io.netty:netty-all,4.1.107.Final,4.1.108.Final,patch,True,False,no_compile
Flmelody/windward,51,org.projectlombok:lombok,1.18.30,1.18.32,patch,False,,
Flmelody/windward,50,org.apache.groovy:groovy-templates,4.0.19,4.0.20,patch,True,False,no_maven
Flmelody/windward,49,com.fasterxml.jackson.core:jackson-databind,2.16.2,2.17.0,minor,False,,
Flmelody/windward,48,org.apache.maven.plugins:maven-gpg-plugin,3.2.0,3.2.1,patch,True,,NO_GITHUB
Flmelody/windward,47,com.fasterxml.jackson.core:jackson-databind,2.16.1,2.16.2,patch,True,True,
Flmelody/windward,46,org.apache.maven.plugins:maven-gpg-plugin,3.1.0,3.2.0,minor,False,,
Flmelody/windward,44,org.apache.groovy:groovy-templates,4.0.18,4.0.19,patch,True,False,no_maven
Flmelody/windward,42,io.netty:netty-all,4.1.106.Final,4.1.107.Final,patch,True,False,no_compile
Flmelody/windward,41,org.slf4j:slf4j-api,2.0.11,2.0.12,patch,True,,NO_GITHUB
Flmelody/windward,40,org.apache.groovy:groovy-templates,4.0.17,4.0.18,patch,True,False,no_maven
Flmelody/windward,39,io.netty:netty-all,4.1.104.Final,4.1.106.Final,patch,True,False,no_compile
Flmelody/windward,38,org.apache.maven.plugins:maven-surefire-plugin,3.2.3,3.2.5,patch,True,,NO_GITHUB
Flmelody/windward,37,org.slf4j:slf4j-api,2.0.10,2.0.11,patch,True,,NO_GITHUB
Flmelody/windward,36,org.slf4j:slf4j-api,2.0.9,2.0.10,patch,False,,
Flmelody/windward,34,org.apache.maven.plugins:maven-surefire-plugin,2.22.2,3.2.3,major,False,,
Flmelody/windward,33,org.apache.groovy:groovy-templates,4.0.15,4.0.17,patch,True,False,no_maven
Flmelody/windward,32,com.fasterxml.jackson.core:jackson-databind,2.16.0,2.16.1,patch,True,True,
Flmelody/windward,27,io.netty:netty-all,4.1.94.Final,4.1.104.Final,patch,True,False,no_compile
Flmelody/windward,26,org.apache.maven.plugins:maven-javadoc-plugin,3.2.0,3.6.3,minor,False,,
Flmelody/windward,25,com.fasterxml.jackson.core:jackson-databind,2.15.3,2.16.0,minor,False,,
Flmelody/windward,24,org.apache.groovy:groovy-templates,4.0.14,4.0.15,patch,True,False,no_maven
Flmelody/windward,22,nz.net.ultraq.thymeleaf:thymeleaf-layout-dialect,3.2.1,3.3.0,minor,True,False,no_maven
Flmelody/windward,21,junit:junit,RELEASE,4.13.2,major,False,,NO_JAR
Flmelody/windward,20,org.apache.maven.plugins:maven-checkstyle-plugin,3.3.0,3.3.1,patch,True,,NO_GITHUB
Flmelody/windward,19,org.projectlombok:lombok,1.18.28,1.18.30,patch,True,False,no_maven
Flmelody/windward,18,org.slf4j:slf4j-api,2.0.7,2.0.9,patch,True,,
Flmelody/windward,17,org.apache.maven.plugins:maven-source-plugin,3.2.1,3.3.0,minor,False,,
Flmelody/windward,16,org.apache.maven.plugins:maven-gpg-plugin,1.5,3.1.0,major,False,,
Flmelody/windward,14,org.sonatype.plugins:nexus-staging-maven-plugin,1.6.8,1.6.13,patch,True,,NO_GITHUB
Flmelody/windward,13,com.fasterxml.jackson.core:jackson-databind,2.15.2,2.15.3,patch,True,True,
michelin/kstreamplify,194,org.jacoco:jacoco-maven-plugin,0.8.11,0.8.12,patch,True,False,no_test
michelin/kstreamplify,193,org.apache.maven.plugins:maven-source-plugin,3.3.0,3.3.1,patch,True,,NO_GITHUB
michelin/kstreamplify,192,commons-io:commons-io,2.16.0,2.16.1,patch,True,,NO_GITHUB
michelin/kstreamplify,190,commons-io:commons-io,2.15.1,2.16.0,minor,False,,
michelin/kstreamplify,189,com.puppycrawl.tools:checkstyle,10.14.2,10.15.0,minor,False,,
michelin/kstreamplify,188,org.apache.maven.plugins:maven-gpg-plugin,3.2.1,3.2.2,patch,False,,
michelin/kstreamplify,186,org.apache.maven.plugins:maven-compiler-plugin,3.12.1,3.13.0,minor,True,True,
michelin/kstreamplify,185,org.springframework.boot:spring-boot-dependencies,3.2.3,3.2.4,patch,False,,NO_JAR
michelin/kstreamplify,184,org.projectlombok:lombok,1.18.30,1.18.32,patch,False,,
michelin/kstreamplify,183,org.apache.maven.plugins:maven-gpg-plugin,3.2.0,3.2.1,patch,True,,NO_GITHUB
michelin/kstreamplify,182,com.puppycrawl.tools:checkstyle,10.14.1,10.14.2,patch,True,True,
michelin/kstreamplify,181,org.apache.maven.plugins:maven-gpg-plugin,3.1.0,3.2.0,minor,False,,
michelin/kstreamplify,180,com.puppycrawl.tools:checkstyle,10.14.0,10.14.1,patch,True,True,
michelin/kstreamplify,176,com.puppycrawl.tools:checkstyle,10.13.0,10.14.0,minor,False,,
michelin/kstreamplify,173,org.springframework.boot:spring-boot-dependencies,3.2.2,3.2.3,patch,False,,NO_JAR
michelin/kstreamplify,170,com.puppycrawl.tools:checkstyle,10.12.7,10.13.0,minor,False,,
michelin/kstreamplify,168,io.confluent:kafka-streams-avro-serde,7.5.3,7.6.0,minor,False,,NO_JAR
michelin/kstreamplify,164,com.puppycrawl.tools:checkstyle,10.12.7,10.13.0,minor,False,,
michelin/kstreamplify,158,org.springframework.boot:spring-boot-dependencies,3.2.1,3.2.2,patch,False,,NO_JAR
michelin/kstreamplify,156,org.apache.maven.plugins:maven-surefire-plugin,3.2.3,3.2.5,patch,True,,NO_GITHUB
michelin/kstreamplify,154,com.puppycrawl.tools:checkstyle,10.12.6,10.12.7,patch,True,True,
